X,Y,Z
5205,-1507,18880
5235,-1518,18871
5198,-1552,18899
5236,-1565,18918
5178,-1592,18870
5213,-1605,18891
5157,-1633,18842
5196,-1647,18871
5143,-1675,18842
5188,-1692,18890
5141,-1721,18880
5157,-1729,18824
5134,-1766,18918
5155,-1775,18870
5119,-1809,18907
5138,-1817,18861
5103,-1851,18907
5126,-1861,18881
5087,-1893,18907
5110,-1904,18880
5064,-1932,18879
5101,-1948,18899
5055,-1977,18907
5090,-1992,18917
5041,-2019,18907
5076,-2035,18926
5019,-2058,18888
5048,-2071,18879
4997,-2097,18869
5035,-2115,18898
4980,-2139,18870
5023,-2159,18927
4978,-2187,18935
4990,-2194,18861
4946,-2222,18879
4991,-2243,18936
4920,-2259,18851
4962,-2280,18889
4901,-2299,18841
4943,-2321,18888
4900,-2348,18916
4915,-2357,18860
4874,-2385,18888
4890,-2395,18832
4845,-2421,18850
4884,-2442,18888
4826,-2461,18849
4874,-2488,18926
4812,-2504,18878
4838,-2520,18870
4800,-2549,18915
4823,-2563,18888
4780,-2589,18915
4807,-2605,18906
4760,-2629,18915
4795,-2650,18944
4735,-2666,18906
4765,-2685,18907
4721,-2710,18934
4745,-2726,18926
4709,-2756,18981
4728,-2768,18944
4709,-2808,19077
4724,-2819,19021
4684,-2845,19068
4706,-2861,19040
4654,-2880,19040
4687,-2903,19059
4630,-2919,19039
4655,-2936,19020
4612,-2961,19058
4640,-2981,19058
4585,-2997,19048
4608,-3013,19020
4561,-3035,19048
4581,-3050,19020
4532,-3070,19028
4561,-3091,19039
4500,-3103,19001
4539,-3131,19048
4476,-3141,19000
4514,-3169,19048
4471,-3193,19094
4491,-3208,19057
4431,-3219,19028
4461,-3242,19048
4400,-3252,19009
4426,-3274,19010
4394,-3304,19103
4412,-3320,19066
4358,-3333,19056
4370,-3344,18990
4330,-3369,19056
4337,-3376,18972
4300,-3404,19046
4314,-3416,18990
4268,-3436,19026
4303,-3465,19065
4250,-3479,19074
4271,-3498,19046
4213,-3507,19026
4244,-3535,19055
4193,-3549,19064
4209,-3564,19017
4150,-3571,18998
4176,-3596,19008
4135,-3618,19064
4145,-3629,18999
